contrast_order,contrast_type,shock,portfolio,reference_portfolio,comparison_shock,family,metric,direction_multiplier,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,positive_share,discordant_positive,discordant_negative,reversal
86,raw_portfolio_contrast,stable_depeg_severe,stable_supported,empirical_crypto,,,positive_realised_bad_debt,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
87,raw_portfolio_contrast,stable_depeg_severe,stable_supported,empirical_crypto,,,active_bad_debt_share,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
88,raw_portfolio_contrast,stable_depeg_severe,stable_supported,empirical_crypto,,,unresolved_tab_share,1,128,-0.007958334989885277,0.003288745258879222,-0.014404275697288551,-0.0015123942824820024,0.0,-0.07206605152951535,-0.001531330325902839,0.0,0.0,0.0,0.046875,,,
89,raw_portfolio_contrast,stable_depeg_severe,stable_supported,empirical_crypto,,,backlog_area_share,1,128,-0.03445292267012094,0.017380696906300213,-0.06851908860646935,-0.0003867567337725239,0.0,-0.2423078978175637,-0.008767608495574456,0.0,0.0,0.0,0.03125,,,
90,raw_portfolio_contrast,stable_depeg_severe,stable_supported,empirical_crypto,,,liquidated_debt_share,1,128,-0.02165332330511262,0.0055500965259187626,-0.03253151249591339,-0.010775134114311847,0.0,-0.18181585978064543,-0.003872734298901398,0.0,0.0,0.0,0.0390625,,,
91,raw_portfolio_contrast,stable_depeg_severe,stable_supported,empirical_crypto,,,debt_weighted_liquidated_vault_share,1,128,-0.02165332330511262,0.0055500965259187626,-0.03253151249591339,-0.010775134114311847,0.0,-0.18181585978064543,-0.003872734298901398,0.0,0.0,0.0,0.0390625,,,
92,raw_portfolio_contrast,stable_depeg_severe,stable_supported,empirical_crypto,,,successful_closure_count,1,128,-6.765625,1.0954386219607504,-8.912684699043071,-4.618565300956929,0.0,-33.949999999999996,-9.0,0.0,0.0,0.0,0.0,,,
93,raw_portfolio_contrast,stable_depeg_severe,stable_supported,empirical_crypto,,,capacity_rejected_opportunities,1,128,-0.0234375,0.023437499999999997,-0.06937499999999999,0.022499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
94,raw_portfolio_contrast,stable_depeg_severe,stable_supported,empirical_crypto,,,below_peg_burden,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
95,raw_portfolio_contrast,stable_depeg_severe,stable_supported,empirical_crypto,,,mean_absolute_peg_deviation,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
96,raw_portfolio_contrast,stable_depeg_severe,stable_supported,empirical_crypto,,,minimum_dai_price,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
97,raw_portfolio_contrast,stable_depeg_severe,stable_supported,empirical_crypto,,,restricted_mean_recovery_time,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
98,raw_portfolio_contrast,stable_depeg_severe,stable_supported,empirical_crypto,,,recovery_probability_720h,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
99,raw_portfolio_contrast,stable_depeg_severe,stable_heavy,empirical_crypto,,,realised_bad_debt_share,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
100,raw_portfolio_contrast,stable_depeg_severe,stable_heavy,empirical_crypto,,,positive_realised_bad_debt,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
101,raw_portfolio_contrast,stable_depeg_severe,stable_heavy,empirical_crypto,,,active_bad_debt_share,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
102,raw_portfolio_contrast,stable_depeg_severe,stable_heavy,empirical_crypto,,,unresolved_tab_share,1,128,-0.013258711725441779,0.0032866922607582196,-0.01970062855652789,-0.006816794894355669,0.0,-0.10749315966790449,-0.0038294749854504073,0.0,0.0,0.0,0.0078125,,,
103,raw_portfolio_contrast,stable_depeg_severe,stable_heavy,empirical_crypto,,,backlog_area_share,1,128,-0.0620914190122034,0.01725268154123726,-0.09590667483302842,-0.02827616319137837,0.0,-0.37284087423608153,-0.012908092726186551,0.0,0.0,0.0,0.0078125,,,
104,raw_portfolio_contrast,stable_depeg_severe,stable_heavy,empirical_crypto,,,liquidated_debt_share,1,128,-0.028483539632800696,0.006231532406686746,-0.040697343149906716,-0.016269736115694676,0.0,-0.22084034182140683,-0.005524978745927039,0.0,0.0,0.0,0.0,,,
105,raw_portfolio_contrast,stable_depeg_severe,stable_heavy,empirical_crypto,,,debt_weighted_liquidated_vault_share,1,128,-0.028483539632800696,0.006231532406686746,-0.040697343149906716,-0.016269736115694676,0.0,-0.22084034182140683,-0.005524978745927039,0.0,0.0,0.0,0.0,,,
106,raw_portfolio_contrast,stable_depeg_severe,stable_heavy,empirical_crypto,,,successful_closure_count,1,128,-10.0390625,1.805619316225522,-13.578076359802022,-6.500048640197977,0.0,-50.65,-11.25,0.0,0.0,0.0,0.0,,,
