candidate_index,moment,effect,effect_estimate,paired_mcse,analytic_mcse,replication_index_mcse,relative_disagreement,agreement_pass,snr,sign,prefix_32_estimate,prefix_32_sign,prefix_sign_stable,dominant_event,dominant_event_share,effective_event_count
103,failed_recovery_attempts_mean,A,-0.0042493665540540545,0.00078357290573681895,0.00074442249118323147,0.00078357290573681895,0.049963971784824639,True,5.4230646860590941,-1,-0.0040118243243243241,-1,True,calibration__20200511T090000Z,0.17514772985974322,12.976113371868131
103,failed_recovery_attempts_mean,AB,0.0042493665540540545,0.00078357290573681895,0.00074442249118323147,0.00078357290573681895,0.049963971784824639,True,5.4230646860590941,1,0.0040118243243243241,1,True,calibration__20200511T090000Z,0.17514772985974322,12.976113371868131
103,failed_recovery_attempts_mean,ABC,-0.0042493665540540545,0.00078357290573681895,0.00074442249118323147,0.00078357290573681895,0.049963971784824639,True,5.4230646860590941,-1,-0.0040118243243243241,-1,True,calibration__20200511T090000Z,0.17514772985974322,12.976113371868131
103,failed_recovery_attempts_mean,AC,0.0042493665540540545,0.00078357290573681895,0.00074442249118323147,0.00078357290573681895,0.049963971784824639,True,5.4230646860590941,1,0.0040118243243243241,1,True,calibration__20200511T090000Z,0.17514772985974322,12.976113371868131
103,failed_recovery_attempts_mean,B,-0.14181271114864866,0.0056476518941744056,0.0056476518941744056,0.005542491208911246,0.018620249128958103,True,25.110030470349901,-1,-0.15730574324324326,-1,True,calibration__20210719T120000Z,0.053939795102554491,44.400596800542267
103,failed_recovery_attempts_mean,BC,0.0047772381756756759,0.00084336949593538538,0.00079399694285008722,0.00084336949593538538,0.05854201903584242,True,5.6644664037525061,1,0.0044341216216216214,1,True,calibration__20200511T090000Z,0.20644201404296422,11.353468404006474
103,failed_recovery_attempts_mean,C,-0.0047772381756756759,0.00084336949593538538,0.00079399694285008722,0.00084336949593538538,0.05854201903584242,True,5.6644664037525061,-1,-0.0044341216216216214,-1,True,calibration__20200511T090000Z,0.20644201404296422,11.353468404006474
103,first_six_hour_burden_mean,A,-0.00021512879885016042,4.8399564367791082e-05,4.8399564367791082e-05,4.6953053234760637e-05,0.029886862659306672,True,4.4448499002053872,-1,-0.0002228546110375083,-1,True,calibration__20200511T090000Z,0.78380696944889061,1.5905413235375689
103,first_six_hour_burden_mean,AB,0.00021512879885016042,4.8399564367791082e-05,4.8399564367791082e-05,4.6953053234760637e-05,0.029886862659306672,True,4.4448499002053872,1,0.0002228546110375083,1,True,calibration__20200511T090000Z,0.78380696944889061,1.5905413235375689
103,first_six_hour_burden_mean,ABC,-0.00021512879885016042,4.8399564367791082e-05,4.8399564367791082e-05,4.6953053234760637e-05,0.029886862659306672,True,4.4448499002053872,-1,-0.0002228546110375083,-1,True,calibration__20200511T090000Z,0.78380696944889061,1.5905413235375689
103,first_six_hour_burden_mean,AC,0.00021512879885016042,4.8399564367791082e-05,4.8399564367791082e-05,4.6953053234760637e-05,0.029886862659306672,True,4.4448499002053872,1,0.0002228546110375083,1,True,calibration__20200511T090000Z,0.78380696944889061,1.5905413235375689
103,first_six_hour_burden_mean,B,-0.021776491236779424,0.0012889335488968561,0.0012723508018004611,0.0012889335488968561,0.012865478682425045,True,16.894968135026826,-1,-0.024253285906425604,-1,True,calibration__20200523T100000Z,0.21261013858300723,11.67270163753766
103,first_six_hour_burden_mean,BC,0.00030246051588904129,6.9527309519272314e-05,6.7694684628512335e-05,6.9527309519272314e-05,0.026358346143855779,True,4.3502404735681894,1,0.0002228546110375083,1,True,calibration__20200511T090000Z,0.88944644632881609,1.2580701708142308
103,first_six_hour_burden_mean,C,-0.00030246051588904129,6.9527309519272314e-05,6.7694684628512335e-05,6.9527309519272314e-05,0.026358346143855779,True,4.3502404735681894,-1,-0.0002228546110375083,-1,True,calibration__20200511T090000Z,0.88944644632881609,1.2580701708142308
103,initial_gap_q4_q1_burden_contrast,A,0.00023359228173957879,8.8048934678058957e-05,8.6628931038123006e-05,8.8048934678058957e-05,0.016127436920481037,True,2.6529824874506742,1,0.00018192614439056982,1,True,calibration__20210715T050000Z,0.38389695071131519,3.1098439448115571
103,initial_gap_q4_q1_burden_contrast,AB,-0.00023359228173957879,8.8048934678058957e-05,8.6628931038123006e-05,8.8048934678058957e-05,0.016127436920481037,True,2.6529824874506742,-1,-0.00018192614439056982,-1,True,calibration__20210715T050000Z,0.38389695071131519,3.1098439448115571
103,initial_gap_q4_q1_burden_contrast,ABC,0.00023359228173957879,8.8048934678058957e-05,8.6628931038123006e-05,8.8048934678058957e-05,0.016127436920481037,True,2.6529824874506742,1,0.00018192614439056982,1,True,calibration__20210715T050000Z,0.38389695071131519,3.1098439448115571
103,initial_gap_q4_q1_burden_contrast,AC,-0.00023359228173957879,8.8048934678058957e-05,8.6628931038123006e-05,8.8048934678058957e-05,0.016127436920481037,True,2.6529824874506742,-1,-0.00018192614439056982,-1,True,calibration__20210715T050000Z,0.38389695071131519,3.1098439448115571
103,initial_gap_q4_q1_burden_contrast,B,0.019939467446059629,0.003646288930655378,0.0035223913877239074,0.003646288930655378,0.033979079905003977,True,5.4684277152100895,1,0.012356889674859237,1,True,calibration__20210715T050000Z,0.2404864606166795,8.2430812133658247
103,initial_gap_q4_q1_burden_contrast,BC,-0.00023359228173957879,8.8048934678058944e-05,8.6628931038123006e-05,8.8048934678058944e-05,0.016127436920480888,True,2.6529824874506747,-1,-0.00018192614439056982,-1,True,calibration__20210715T050000Z,0.38389695071131524,3.109843944811558
103,initial_gap_q4_q1_burden_contrast,C,0.00023359228173957879,8.8048934678058944e-05,8.6628931038123006e-05,8.8048934678058944e-05,0.016127436920480888,True,2.6529824874506747,1,0.00018192614439056982,1,True,calibration__20210715T050000Z,0.38389695071131524,3.109843944811558
103,maximum_downside_deviation_mean,A,-0.006558142445889651,0.00022960561751827601,0.00022960561751827601,0.0002238053240026107,0.02526198434671844,True,28.562639349917646,-1,-0.0068454692290644435,-1,True,calibration__20210616T110000Z,0.1041808497622152,13.967034794085738
103,maximum_downside_deviation_mean,AB,0.0064797535100788416,0.00023105261534877631,0.00023105261534877631,0.00022791021999153449,0.013600345326099618,True,28.044493243660483,1,0.0068454692290644435,1,True,calibration__20210616T110000Z,0.11476219256343849,13.805950318345351
103,maximum_downside_deviation_mean,ABC,-0.0064797535100788416,0.00023105261534877631,0.00023105261534877631,0.00022791021999153449,0.013600345326099618,True,28.044493243660483,-1,-0.0068454692290644435,-1,True,calibration__20210616T110000Z,0.11476219256343849,13.805950318345351
103,maximum_downside_deviation_mean,AC,0.006558142445889651,0.00022960561751827601,0.00022960561751827601,0.0002238053240026107,0.02526198434671844,True,28.562639349917646,1,0.0068454692290644435,1,True,calibration__20210616T110000Z,0.1041808497622152,13.967034794085738
103,maximum_downside_deviation_mean,B,-0.078836393706884431,0.0014588332190700237,0.0014588332190700237,0.0014123944759739638,0.031832797943594733,True,54.040717387242537,-1,-0.080974253963389531,-1,True,calibration__20200523T100000Z,0.040889663823782348,44.361760411977521
103,maximum_downside_deviation_mean,BC,0.0077601267381694605,0.00027368343540887523,0.0002654157072841269,0.00027368343540887523,0.030209092166636167,True,28.354389539783629,1,0.0082044181077627377,1,True,calibration__20210616T110000Z,0.15001111425477312,11.673673676677117
103,maximum_downside_deviation_mean,C,-0.0078385156739802717,0.00026989639150363701,0.00026602277990218475,0.00026989639150363701,0.014352217085496152,True,29.042684232681353,-1,-0.0082044181077627377,-1,True,calibration__20210616T110000Z,0.15434165338256961,11.575220385633997
103,recovery_completion_hours_mean,A,-10.893369932432432,0.32256185545490612,0.32256185545490612,0.31566842412163781,0.021370881946182266,True,33.771413910890388,-1,-11.098184121621621,-1,True,calibration__20210616T110000Z,0.10970886325578481,13.633028710667695
103,recovery_completion_hours_mean,AB,6.2029666385135132,0.29309158362667997,0.29309158362667997,0.28328689959613762,0.033452629069795778,True,21.163919351619555,1,6.6152871621621623,1,True,calibration__20200509T220000Z,0.11359247388157367,12.895020189327047
103,recovery_completion_hours_mean,ABC,-6.2029666385135132,0.29309158362667997,0.29309158362667997,0.28328689959613762,0.033452629069795778,True,21.163919351619555,-1,-6.6152871621621623,-1,True,calibration__20200509T220000Z,0.11359247388157367,12.895020189327047
103,recovery_completion_hours_mean,AC,10.893369932432432,0.32256185545490612,0.32256185545490612,0.31566842412163781,0.021370881946182266,True,33.771413910890388,1,11.098184121621621,1,True,calibration__20210616T110000Z,0.10970886325578481,13.633028710667695
103,recovery_completion_hours_mean,B,-98.029244087837839,1.9512386002143773,1.9512386002143773,1.8803760947331396,0.036316678787234047,True,50.239496121626352,-1,-101.05764358108108,-1,True,calibration__20200523T100000Z,0.045046846938084063,43.35696418776498
103,recovery_completion_hours_mean,BC,7.4409839527027026,0.33934368122662639,0.33920246713310687,0.33934368122662639,0.00041613886255102543,True,21.927574799111511,1,8.0508868243243246,1,True,calibration__20210920T030000Z,0.16645985248701134,10.399009592096556
