event_id,partition,onset_timestamp_utc,completion_timestamp_utc,stable_run_start_timestamp_utc,trough_timestamp_utc,first_return_timestamp_utc,calendar_year,event_duration_hours,hours_below_0995,initial_peg_gap,minimum_price,maximum_downside_deviation,maximum_six_hour_burden,first_six_hour_burden,first_24_hour_burden,cumulative_downside_burden,burden_after_first_return,hours_to_minimum,hours_to_first_return,recovery_completion_hours,recovery_hours_from_trough,recovery_half_life,failed_recovery_attempts,post_recovery_overshoot,onset_eth_downside,event_eth_downside,eth_recovery_24h,eligible_first_six_hour_burden,eligible_maximum_downside_deviation,eligible_recovery_completion_hours,eligible_failed_recovery_attempts,eligible_initial_gap_contrast,eligible_eth_recovery_contrast
calibration__20201115T160000Z,calibration,2020-11-15T16:00:00Z,2020-11-17T00:00:00Z,2020-11-16T01:00:00Z,2020-11-15T16:00:00Z,2020-11-15T23:00:00Z,2020,32,8,0.01093725,0.98906275,0.00593725,1,0.909138888889,0.270763194444,6.49831666667,0.0434833333333,0,7,32,32,7,1,0.0187290833333,0.0078645133927,0,0.016252228017,True,True,True,True,True,True
calibration__20201119T090000Z,calibration,2020-11-19T09:00:00Z,2020-11-20T09:00:00Z,2020-11-19T10:00:00Z,2020-11-19T09:00:00Z,2020-11-19T10:00:00Z,2020,24,1,0.00563,0.99437,0.00063,0.126,0.021,0.00525,0.126,0,0,1,24,24,2,0,0.0220363333333,0.0195727320333,0,0.0576295244285,True,True,True,True,True,True
calibration__20201121T170000Z,calibration,2020-11-21T17:00:00Z,2020-12-01T19:00:00Z,2020-11-30T20:00:00Z,2020-11-25T02:00:00Z,2020-11-21T18:00:00Z,2020,242,110,0.00782033333333,0.98661075,0.00838925,0.745083333333,0.0940111111111,0.243867361111,66.7523333333,66.1882666667,81,1,242,161,3,39,0.00203475,0,0,-0.0641343693847,True,True,True,True,True,True
calibration__20201201T230000Z,calibration,2020-12-01T23:00:00Z,2020-12-05T16:00:00Z,2020-12-04T17:00:00Z,2020-12-02T04:00:00Z,2020-12-02T00:00:00Z,2020,89,23,0.00603941666667,0.989198583333,0.00580141666667,0.424336111111,0.396808333333,0.118527083333,7.52565,7.31776666667,5,1,89,84,2,11,0.00189116666667,0.0130539317602,0.00448490914249,0.0188322182496,True,True,True,True,True,True
calibration__20201206T020000Z,calibration,2020-12-06T02:00:00Z,2021-01-04T09:00:00Z,2021-01-03T10:00:00Z,2020-12-08T20:00:00Z,2020-12-06T14:00:00Z,2020,703,408,0.00800066666667,0.982588083333,0.0124119166667,1,0.638055555556,0.394049305556,262.4001,253.49265,66,12,703,637,3,92,0.00741233333333,0,0,0.000634145079742,True,True,True,True,True,True
calibration__20210125T220000Z,calibration,2021-01-25T22:00:00Z,2021-01-26T22:00:00Z,2021-01-25T23:00:00Z,2021-01-25T22:00:00Z,2021-01-25T23:00:00Z,2021,24,1,0.00592841666667,0.994071583333,0.000928416666667,0.185683333333,0.0309472222222,0.00773680555556,0.185683333333,0,0,1,24,24,2,0,0.00356583333333,0.00380747114811,0.00130137855198,0.0127301684388,True,True,True,True,True,True
calibration__20210128T140000Z,calibration,2021-01-28T14:00:00Z,2021-02-03T19:00:00Z,2021-02-02T20:00:00Z,2021-01-31T06:00:00Z,2021-01-28T16:00:00Z,2021,149,35,0.00563191666667,0.989919916667,0.00508008333333,0.710547222222,0.0660111111111,0.0665618055556,14.8959333333,14.5472,64,2,149,85,3,14,0.00030925,0,0,-0.0210237752289,True,True,True,True,True,True
calibration__20210204T040000Z,calibration,2021-02-04T04:00:00Z,2021-02-05T15:00:00Z,2021-02-04T16:00:00Z,2021-02-04T15:00:00Z,2021-02-04T05:00:00Z,2021,35,3,0.00517075,0.99315775,0.00184225,0.0614083333333,0.0232027777778,0.0211527777778,0.507666666667,0.473516666667,11,1,35,24,1,2,0.00470016666667,0,0,0.0916952207471,True,True,True,True,True,True
calibration__20210206T010000Z,calibration,2021-02-06T01:00:00Z,2021-02-07T01:00:00Z,2021-02-06T02:00:00Z,2021-02-06T01:00:00Z,2021-02-06T02:00:00Z,2021,24,1,0.00755958333333,0.992440416667,0.00255958333333,0.511916666667,0.0853194444444,0.0213298611111,0.511916666667,0,0,1,24,24,1,0,0.00728091666667,0,0.0302355886747,-0.0146817212827,True,True,True,True,True,True
calibration__20210208T030000Z,calibration,2021-02-08T03:00:00Z,2021-02-09T05:00:00Z,2021-02-08T06:00:00Z,2021-02-08T03:00:00Z,2021-02-08T06:00:00Z,2021,26,3,0.00559025,0.99440975,0.00059025,0.11805,0.0431777777778,0.0107944444444,0.259066666667,0,0,3,26,26,3,0,0.00476983333333,0.0255123110062,0,0.0905658509454,True,True,True,True,True,True
calibration__20210209T210000Z,calibration,2021-02-09T21:00:00Z,2021-02-11T04:00:00Z,2021-02-10T05:00:00Z,2021-02-10T04:00:00Z,2021-02-09T22:00:00Z,2021,31,2,0.005326,0.994426083333,0.000573916666667,0.0652,0.0108666666667,0.00749930555556,0.179983333333,0.114783333333,7,1,31,24,1,1,0.00734875,0,0.0209259312934,-0.0283768541741,True,True,True,True,True,True
calibration__20210212T030000Z,calibration,2021-02-12T03:00:00Z,2021-02-13T03:00:00Z,2021-02-12T04:00:00Z,2021-02-12T03:00:00Z,2021-02-12T04:00:00Z,2021,24,1,0.00528758333333,0.994712416667,0.000287583333333,0.0575166666666,0.00958611111111,0.00239652777778,0.0575166666666,0,0,1,24,24,1,0,0.0069245,0,0,0.0490348226502,True,True,True,True,True,True
calibration__20210214T030000Z,calibration,2021-02-14T03:00:00Z,2021-02-15T11:00:00Z,2021-02-14T12:00:00Z,2021-02-14T11:00:00Z,2021-02-14T04:00:00Z,2021,32,2,0.00654908333333,0.993113916667,0.00188608333333,0.309816666667,0.0516361111111,0.0286263888889,0.687033333333,0.377216666667,8,1,32,24,1,1,0.00764358333333,0.0114746297581,0.0265938938306,-0.024696194409,True,True,True,True,True,True
calibration__20210217T040000Z,calibration,2021-02-17T04:00:00Z,2021-02-18T04:00:00Z,2021-02-17T05:00:00Z,2021-02-17T04:00:00Z,2021-02-17T05:00:00Z,2021,24,1,0.00545725,0.99454275,0.00045725,0.09145,0.0152416666667,0.00381041666667,0.09145,0,0,1,24,24,1,0,0.00708725,0.0261695641035,0,0.0813419240761,True,True,True,True,True,True
calibration__20210218T110000Z,calibration,2021-02-18T11:00:00Z,2021-02-19T11:00:00Z,2021-02-18T12:00:00Z,2021-02-18T11:00:00Z,2021-02-18T12:00:00Z,2021,24,1,0.00511391666667,0.994886083333,0.000113916666667,0.0227833333334,0.00379722222223,0.000949305555557,0.0227833333334,0,0,1,24,24,1,0,0.00675191666667,0,0,0.0138189105761,True,True,True,True,True,True
calibration__20210228T030000Z,calibration,2021-02-28T03:00:00Z,2021-03-01T03:00:00Z,2021-02-28T04:00:00Z,2021-02-28T03:00:00Z,2021-02-28T04:00:00Z,2021,24,1,0.00578633333333,0.994213666667,0.000786333333333,0.157266666667,0.0262111111111,0.00655277777778,0.157266666667,0,0,1,24,24,1,0,0.00632041666667,0.0350890350494,0.00222990610978,0.0217403229494,True,True,True,True,True,True
calibration__20210302T170000Z,calibration,2021-03-02T17:00:00Z,2021-03-04T14:00:00Z,2021-03-03T15:00:00Z,2021-03-02T17:00:00Z,2021-03-02T19:00:00Z,2021,45,3,0.00614033333333,0.993859666667,0.00114033333333,0.228066666667,0.051375,0.0152270833333,0.36545,0.0572,0,2,45,45,6,1,0.00817166666667,0.00147008850243,0,0.0752769601574,True,True,True,True,True,True
calibration__20210306T130000Z,calibration,2021-03-06T13:00:00Z,2021-03-07T13:00:00Z,2021-03-06T14:00:00Z,2021-03-06T13:00:00Z,2021-03-06T14:00:00Z,2021,24,1,0.00537516666667,0.994624833333,0.000375166666667,0.0750333333334,0.0125055555556,0.00312638888889,0.0750333333334,0,0,1,24,24,2,0,0.0055585,0,0,0.0835427193548,True,True,True,True,True,True
calibration__20210308T080000Z,calibration,2021-03-08T08:00:00Z,2021-03-09T09:00:00Z,2021-03-08T10:00:00Z,2021-03-08T09:00:00Z,2021-03-08T10:00:00Z,2021,25,2,0.00515016666667,0.99454825,0.00045175,0.0601916666667,0.0200638888889,0.00501597222222,0.120383333333,0,1,2,25,24,1,0,0.00618133333333,0,0,0.0860830061252,True,True,True,True,True,True
calibration__20210314T050000Z,calibration,2021-03-14T05:00:00Z,2021-03-16T06:00:00Z,2021-03-15T07:00:00Z,2021-03-15T06:00:00Z,2021-03-14T07:00:00Z,2021,49,3,0.00500225,0.994312416667,0.000687583333333,0.0229666666667,0.00765555555556,0.00191388888889,0.18345,0.137516666667,25,2,49,24,2,1,0.00647491666667,0,0.0819310421618,-0.0383412351243,True,True,True,True,True,True
calibration__20210317T020000Z,calibration,2021-03-17T02:00:00Z,2021-03-18T08:00:00Z,2021-03-17T09:00:00Z,2021-03-17T05:00:00Z,2021-03-17T06:00:00Z,2021,30,5,0.00603191666667,0.993610166667,0.00138983333333,0.231183333333,0.133741666667,0.0419,1.0056,0.20315,3,4,30,27,5,1,0.01030575,0,0,0.0351016293885,True,True,True,True,True,True
calibration__20210322T000000Z,calibration,2021-03-22T00:00:00Z,2021-03-23T00:00:00Z,2021-03-22T01:00:00Z,2021-03-22T00:00:00Z,2021-03-22T01:00:00Z,2021,24,1,0.00513441666667,0.994865583333,0.000134416666667,0.0268833333334,0.00448055555556,0.00112013888889,0.0268833333334,0,0,1,24,24,2,0,0.00732058333333,0.0204537349911,0.0558587053837,-0.0487288859509,True,True,True,True,True,True
calibration__20210325T210000Z,calibration,2021-03-25T21:00:00Z,2021-03-27T19:00:00Z,2021-03-26T20:00:00Z,2021-03-26T19:00:00Z,2021-03-25T22:00:00Z,2021,46,6,0.00512891666667,0.993227916667,0.00177208333333,0.0765833333333,0.0576111111111,0.0335486111111,0.805166666667,0.779383333333,22,1,46,24,1,2,0.0096135,0.00164199703066,0,0.029409964354,True,True,True,True,True,True
calibration__20210328T190000Z,calibration,2021-03-28T19:00:00Z,2021-03-29T21:00:00Z,2021-03-28T22:00:00Z,2021-03-28T20:00:00Z,2021-03-28T22:00:00Z,2021,26,3,0.00590283333333,0.993629,0.001371,0.227383333333,0.105383333333,0.0263458333333,0.6323,0,1,3,26,25,3,0,0.0070445,0.00759814239589,0,0.0810492268833,True,True,True,True,True,True
calibration__20210401T030000Z,calibration,2021-04-01T03:00:00Z,2021-04-03T13:00:00Z,2021-04-02T14:00:00Z,2021-04-02T13:00:00Z,2021-04-01T04:00:00Z,2021,58,4,0.00549775,0.993806333333,0.00119366666667,0.09955,0.0165916666667,0.0119555555556,0.525666666667,0.426116666667,34,1,58,24,1,3,0.00844966666667,0,0,0.0519557460308,True,True,True,True,True,True
calibration__20210404T190000Z,calibration,2021-04-04T19:00:00Z,2021-04-06T19:00:00Z,2021-04-05T20:00:00Z,2021-04-05T01:00:00Z,2021-04-04T20:00:00Z,2021,48,3,0.00574916666667,0.99337425,0.00162575,0.149833333333,0.0249722222222,0.0197909722222,0.495833333333,0.346,6,1,48,42,1,2,0.0268645,0,0,0.0573573337696,True,True,True,True,True,True
calibration__20210409T070000Z,calibration,2021-04-09T07:00:00Z,2021-04-10T07:00:00Z,2021-04-09T08:00:00Z,2021-04-09T07:00:00Z,2021-04-09T08:00:00Z,2021,24,1,0.00542783333333,0.994572166667,0.000427833333333,0.0855666666666,0.0142611111111,0.00356527777778,0.0855666666666,0,0,1,24,24,2,0,0.013862,0,0,0.0459476614205,True,True,True,True,True,True
calibration__20210410T170000Z,calibration,2021-04-10T17:00:00Z,2021-04-12T17:00:00Z,2021-04-11T18:00:00Z,2021-04-11T13:00:00Z,2021-04-10T18:00:00Z,2021,48,4,0.005391,0.991388083333,0.00361191666667,0.210513888889,0.0130333333333,0.0393229166667,1.34128333333,1.26308333333,20,1,48,28,1,2,0.0110101666667,0,0.0154155399403,0.00852132061933,True,True,True,True,True,True
