contrast_order,contrast_type,anchor,family,metric,left_delay,right_delay,contrast_label,direction_multiplier,operationality,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,positive_share,discordant_positive,discordant_negative,classification
75,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,market_unsafe_debt_not_oracle_eligible_share,0,2,delay_2_minus_0,1,operational,128,0.31181167033944734,0.026444193599853418,0.25998105088373463,0.36364228979516006,0.305447807663436,0.0,0.0,0.5219664624690099,0.6756649904374973,0.868730889094325,0.609375,78,0,
76,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,market_unsafe_debt_not_oracle_eligible_share,0,2,delay_2_minus_0,1,operational,128,0.31181167033944734,0.026444193599853418,0.25998105088373463,0.36364228979516006,0.305447807663436,0.0,0.0,0.5219664624690099,0.6756649904374973,0.868730889094325,0.609375,78,0,
77,response_shape_classification,empirical_crypto__joint_crypto_high_correlation,,market_unsafe_debt_not_oracle_eligible_share,0,2,delay_2_minus_0,1,operational,128,0.31181167033944734,0.026444193599853418,0.25998105088373463,0.36364228979516006,0.305447807663436,0.0,0.0,0.5219664624690099,0.6756649904374973,0.868730889094325,0.609375,78,0,monotonic_deterioration
78,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,oracle_unsafe_debt_already_market_safe_share,0,1,delay_1_minus_0,1,operational,128,0.13808498223827836,0.021402278900087873,0.09613651559410613,0.1800334488824506,0.005488821237836315,0.0,0.0,0.1881150189769129,0.44845582323302746,0.695473324245741,0.5390625,69,0,
79,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,oracle_unsafe_debt_already_market_safe_share,0,1,delay_1_minus_0,1,operational,128,0.13808498223827836,0.021402278900087873,0.09613651559410613,0.1800334488824506,0.005488821237836315,0.0,0.0,0.1881150189769129,0.44845582323302746,0.695473324245741,0.5390625,69,0,
80,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,oracle_unsafe_debt_already_market_safe_share,1,2,delay_2_minus_1,1,operational,128,0.025525484397267276,0.011438927887932217,0.003105185736920129,0.04794578305761442,0.0,-0.05889377881781882,0.0,0.03192779950498455,0.12503106159398583,0.2216785026669023,0.390625,50,19,
81,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,oracle_unsafe_debt_already_market_safe_share,1,2,delay_2_minus_1,1,operational,128,0.025525484397267276,0.011438927887932217,0.003105185736920129,0.04794578305761442,0.0,-0.05889377881781882,0.0,0.03192779950498455,0.12503106159398583,0.2216785026669023,0.390625,50,19,
82,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,oracle_unsafe_debt_already_market_safe_share,0,2,delay_2_minus_0,1,operational,128,0.16361046663554563,0.023249182652529315,0.11804206863658817,0.20917886463450308,0.016475364456559862,0.0,0.0,0.24814312282199819,0.5000812860048196,0.8415389619462066,0.5546875,71,0,
83,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,oracle_unsafe_debt_already_market_safe_share,0,2,delay_2_minus_0,1,operational,128,0.16361046663554563,0.023249182652529315,0.11804206863658817,0.20917886463450308,0.016475364456559862,0.0,0.0,0.24814312282199819,0.5000812860048196,0.8415389619462066,0.5546875,71,0,
84,response_shape_classification,empirical_crypto__joint_crypto_high_correlation,,oracle_unsafe_debt_already_market_safe_share,0,2,delay_2_minus_0,1,operational,128,0.16361046663554563,0.023249182652529315,0.11804206863658817,0.20917886463450308,0.016475364456559862,0.0,0.0,0.24814312282199819,0.5000812860048196,0.8415389619462066,0.5546875,71,0,monotonic_deterioration
