cell_order,cell_identifier,anchor,portfolio,shock,oracle_treatment,oracle_delay_steps,metric_order,metric,operationality,direction_multiplier,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,positive_share
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,39,recovery_probability_720h,degenerate,-1,128,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,1,debt_weighted_absolute_mismatch_area,operational,1,128,2.935390425582396,0.05077919169919717,2.8358632098519694,3.0349176413128225,2.8318588572756447,2.155702404758233,2.538841227352546,3.285893865512409,3.7510902786352407,4.035505403126797,1.0
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,2,debt_weighted_overvaluation_area,operational,1,128,1.4503626042196403,0.02696954186606037,1.397502302162162,1.5032229062771185,1.4171725797291614,1.0391219641913065,1.208204789248486,1.6356665282115714,1.8650708675002612,2.0318109794681907,1.0
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,3,debt_weighted_undervaluation_area,operational,1,128,1.4850278213627552,0.026364618992747096,1.433353168136971,1.5367024745885396,1.4476562712402707,1.0588500936942944,1.277177587620919,1.700726810745029,1.8942226337375476,2.0127692012882443,1.0
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,4,peak_debt_weighted_mismatch,operational,1,128,0.12107496422545769,0.0005985665831871159,0.11990177372241094,0.12224815472850444,0.12112219880093374,0.11030545662021923,0.11878965714822837,0.12354025024405418,0.1268335069231275,0.1321089438734602,1.0
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,5,false_safe_vault_hours,operational,1,128,13.1875,1.9137000249341771,9.436647951129013,16.938352048870986,4.5,0.0,0.0,18.0,32.0,59.64999999999999,0.609375
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,6,false_safe_debt_hours,operational,1,128,81883.3763898579,17053.23362905929,48459.0384769017,115307.71430281411,2602.6389123641693,0.0,0.0,46080.62954183578,244788.79449561512,515280.59946052165,0.609375
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,7,peak_false_safe_debt,operational,1,128,48886.636164206444,10724.37820712591,27866.85487823966,69906.41745017323,1244.6350418506179,0.0,0.0,21068.24375910782,135908.33698820928,329966.9082961046,0.609375
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,8,false_unsafe_vault_hours,operational,1,128,6.328125,1.1767467632242963,4.0217013440803795,8.63454865591962,1.0,0.0,0.0,6.0,17.0,31.249999999999957,0.5390625
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,9,false_unsafe_debt_hours,operational,1,128,30442.306102508555,9937.318752706526,10965.161347203764,49919.45085781335,610.53694090198,0.0,0.0,6367.024571176198,50181.922008599075,117365.59317274367,0.5390625
