pool_row_id,source_row,timestamp_utc,calibration_pool_label,regime_label,is_calibration,is_withheld_ftx,return_observation_valid,eth_price_usd,wbtc_price_usd,eth_log_return,wbtc_log_return,median_effective_gas_price_gwei,p90_effective_gas_price_gwei,p99_effective_gas_price_gwei,target_normalised_block_utilisation
6498,6498,2022-02-26T18:00:00Z,all_calibration,normal,True,False,True,2786.290833333333,39185.099166666674,-0.0027236290691234,-0.0012219755220534,41.859139348152176,55.21575336046894,81.47506368279362,1.0383089959705842
6499,6499,2022-02-26T19:00:00Z,all_calibration,normal,True,False,True,2815.1841666666683,39311.37666666667,0.01031642186717,0.0032174083636693,48.05779244753556,66.50399392686865,95.57946896578052,1.0254377396777743
6500,6500,2022-02-26T20:00:00Z,all_calibration,normal,True,False,True,2818.205833333334,39361.665,0.0010727703767896,0.0012784135230319,41.63316736110328,53.98629365438836,81.44992657822323,1.0273362304329283
6501,6501,2022-02-26T21:00:00Z,all_calibration,normal,True,False,True,2833.749999999999,39494.52583333335,0.0055004696837572,0.0033697026865677,57.66676154224344,126.01893333067244,262.5857857667448,1.0263536301957394
6502,6502,2022-02-26T22:00:00Z,all_calibration,normal,True,False,True,2816.5916666666662,39401.505,-0.0060733977120746,-0.0023580622612833,69.9019422123091,92.07489115224402,191.02882369280508,1.03851212192914
6503,6503,2022-02-26T23:00:00Z,all_calibration,stress,True,False,True,2788.367499999999,39111.7875,-0.0100712259949826,-0.0073801213974782,45.585022007146165,63.48765829579459,107.01149476316182,1.027569052878896
6504,6504,2022-02-27T00:00:00Z,all_calibration,normal,True,False,True,2773.4424999999987,39008.242499999986,-0.0053669707614698,-0.0026509221933892,40.88114230607112,52.65681150016913,642.9481621939418,1.0249809476787677
6505,6505,2022-02-27T01:00:00Z,all_calibration,stress,True,False,True,2731.8416666666667,38595.31833333334,-0.0151133434420414,-0.0106419875392909,45.66750341425655,66.39165362790334,962.2973177420909,1.0180742668309757
6506,6506,2022-02-27T02:00:00Z,all_calibration,normal,True,False,True,2708.8941666666665,38497.07666666667,-0.0084354898957315,-0.0025486747388256,32.32760498103676,41.505712915336474,78.52612191967353,1.02494701395219
6507,6507,2022-02-27T03:00:00Z,all_calibration,normal,True,False,True,2723.193333333333,38734.53666666665,0.0052647162603456,0.0061493147178488,36.76922494867129,45.4236843236377,76.77643232793528,1.0384362912080505
6508,6508,2022-02-27T04:00:00Z,all_calibration,normal,True,False,True,2718.005833333334,38653.43083333333,-0.0019067493810771,-0.002096084589084,34.27920518651151,45.570347576973575,79.46099553513476,1.0180545899987024
