arrival_pool_row_id,relative_hour,timestamp_utc,source_window,empirical_regime_label,liquidatable_vault_count,liquidatable_share,bark_count,grab_count,activity_indicator,positive_count_eligible,sequence_id
125,124,2022-05-10T04:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
126,125,2022-05-10T05:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
127,126,2022-05-10T06:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
128,127,2022-05-10T07:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
129,128,2022-05-10T08:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
130,129,2022-05-10T09:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
131,130,2022-05-10T10:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
132,131,2022-05-10T11:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
133,132,2022-05-10T12:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
134,133,2022-05-10T13:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
135,134,2022-05-10T14:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
136,135,2022-05-10T15:00:00+0000,terra_cefi,terra_cefi,2,0.0004353504571179,0,0,0,0,
137,136,2022-05-10T16:00:00+0000,terra_cefi,terra_cefi,2,0.0004353504571179,0,0,0,0,
138,137,2022-05-10T17:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
139,138,2022-05-10T18:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
140,139,2022-05-10T19:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
141,140,2022-05-10T20:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
142,141,2022-05-10T21:00:00+0000,terra_cefi,terra_cefi,2,0.000435066347618,0,0,0,0,
143,142,2022-05-10T22:00:00+0000,terra_cefi,terra_cefi,2,0.000435066347618,0,0,0,0,
144,143,2022-05-10T23:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
145,144,2022-05-11T00:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
146,145,2022-05-11T01:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
147,146,2022-05-11T02:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
148,147,2022-05-11T03:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
149,148,2022-05-11T04:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
150,149,2022-05-11T05:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
151,150,2022-05-11T06:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
152,151,2022-05-11T07:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
153,152,2022-05-11T08:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
154,153,2022-05-11T09:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
155,154,2022-05-11T10:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
156,155,2022-05-11T11:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
157,156,2022-05-11T12:00:00+0000,terra_cefi,terra_cefi,2,0.0004353504571179,0,0,0,0,
158,157,2022-05-11T13:00:00+0000,terra_cefi,terra_cefi,13,0.0028297779712668,0,0,0,0,
159,158,2022-05-11T14:00:00+0000,terra_cefi,terra_cefi,0,0.0,19,19,1,1,
160,159,2022-05-11T15:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
161,160,2022-05-11T16:00:00+0000,terra_cefi,terra_cefi,2,0.000437349661054,0,0,0,0,
162,161,2022-05-11T17:00:00+0000,terra_cefi,terra_cefi,4,0.0008748906386701,0,0,0,0,
163,162,2022-05-11T18:00:00+0000,terra_cefi,terra_cefi,3,0.0006561679790026,0,0,0,0,
164,163,2022-05-11T19:00:00+0000,terra_cefi,terra_cefi,9,0.0019693654266958,3,3,1,1,
165,164,2022-05-11T20:00:00+0000,terra_cefi,terra_cefi,17,0.0037280701754385,0,0,0,0,
166,165,2022-05-11T21:00:00+0000,terra_cefi,terra_cefi,40,0.0087854162090929,7,7,1,1,
167,166,2022-05-11T22:00:00+0000,terra_cefi,terra_cefi,12,0.0026460859977949,24,24,1,1,
168,167,2022-05-11T23:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
169,168,2022-05-12T00:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
170,169,2022-05-12T01:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
171,170,2022-05-12T02:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
172,171,2022-05-12T03:00:00+0000,terra_cefi,terra_cefi,10,0.002219263204616,0,0,0,0,
173,172,2022-05-12T04:00:00+0000,terra_cefi,terra_cefi,61,0.013546524539196,0,0,0,0,
174,173,2022-05-12T05:00:00+0000,terra_cefi,terra_cefi,128,0.0284697508896797,19,19,1,1,
175,174,2022-05-12T06:00:00+0000,terra_cefi,terra_cefi,108,0.0242043926490363,45,45,1,1,
176,175,2022-05-12T07:00:00+0000,terra_cefi,terra_cefi,63,0.0142921960072595,20,20,1,1,
177,176,2022-05-12T08:00:00+0000,terra_cefi,terra_cefi,3,0.0006833712984054,27,27,1,1,
178,177,2022-05-12T09:00:00+0000,terra_cefi,terra_cefi,2,0.000459242250287,2,2,1,1,
179,178,2022-05-12T10:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
180,179,2022-05-12T11:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
181,180,2022-05-12T12:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
182,181,2022-05-12T13:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
183,182,2022-05-12T14:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
184,183,2022-05-12T15:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
185,184,2022-05-12T16:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
186,185,2022-05-12T17:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
