cell_identifier,recovery_path,confidence_scenario,metric,replication_count,mean,standard_error,ci_lower,ci_upper,median,q25,q75,q05,q95,censoring_share,numerical_valid_count
persistent_trough__confidence_central,persistent_trough,confidence_central,unresolved_tab_at_horizon_dai,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,active_bad_debt_at_horizon_dai,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,maximum_active_bad_debt_dai,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,keeper_profit_dai,128,54563.53816768524,129.9635188751455,54308.80967068996,54818.26666468052,54623.933415171974,53626.73465242867,55461.53706407916,52091.68998128761,57300.17059592907,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,minimum_confidence,128,0.5000000002251106,2.2511054999230231e-10,0.4999999997838939,0.5000000006663273,0.5,0.5,0.5,0.5,0.5,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,mean_confidence_loss,128,0.49399919315200314,0.0036252157634575127,0.4868937702556264,0.5011046160483799,0.4995648417422516,0.4993667093943438,0.49978693902415133,0.498412489306282,0.5,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,hours_at_confidence_floor,128,705.4140625,6.103907996738352,693.4504028263929,717.3777221736071,717.0,715.0,719.0,680.25,720.0,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,hours_recovery_gate_closed,128,704.1640625,5.710319447878518,692.9718363821581,715.3562886178419,714.5,709.0,717.0,694.05,720.0,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,first_recovery_gate_open,128,129.375,24.52896558273616,81.29822745783713,177.45177254216287,0.0,0.0,0.0,0.0,720.0,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,recovery_gate_reopenings,128,0.0078125,0.0078125,-0.0075,0.023125,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,cumulative_panic_contribution,128,240.13220152607477,2.0274788600685034,236.1583429603405,244.10606009180904,243.3803344656057,241.50540626283174,244.32846100666546,236.1759136069311,247.90859999999992,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,maximum_panic_contribution,128,0.341634344009659,0.0026831559903409403,0.3363753582685907,0.34689332975072723,0.3443175,0.3443175,0.3443175,0.3443175,0.3443175,0.0,128
persistent_trough__confidence_central,persistent_trough,confidence_central,confidence_at_horizon,128,0.5037049821429408,0.003704982142940773,0.4964432171427769,0.5109667471431047,0.5,0.5,0.5,0.5,0.5,0.0,128
