pool_row_id,source_window,regime_label,state_label,timestamp_utc,ilk,collateral_family,debt_dai,collateral_ratio,liquidation_ratio,absolute_buffer,relative_buffer
tranche_b_pool_000075,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,16.55791384810657,1.45,15.10791384810657,10.419250929728669
tranche_b_pool_000076,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,16.9258674891756,1.45,15.475867489175602,10.673012061500415
tranche_b_pool_000077,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,16.9258674891756,1.45,15.475867489175602,10.673012061500415
tranche_b_pool_000078,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,16.9258674891756,1.45,15.475867489175602,10.673012061500415
tranche_b_pool_000079,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,18.397682053451742,1.45,16.947682053451743,11.68805658858741
tranche_b_pool_000080,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,18.397682053451742,1.45,16.947682053451743,11.68805658858741
tranche_b_pool_000081,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,22.07721846414209,1.45,20.62721846414209,14.225667906304889
tranche_b_pool_000082,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,22.07721846414209,1.45,20.62721846414209,14.225667906304889
tranche_b_pool_000083,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,22.07721846414209,1.45,20.62721846414209,14.225667906304889
tranche_b_pool_000084,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,25.75675487483244,1.45,24.30675487483244,16.763279224022373
tranche_b_pool_000085,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,36.795364106903484,1.45,35.34536410690348,24.37611317717482
tranche_b_pool_000086,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,36.795364106903484,1.45,35.34536410690348,24.37611317717482
tranche_b_pool_000087,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,36.795364106903484,1.45,35.34536410690348,24.37611317717482
tranche_b_pool_000088,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,73.59072821380697,1.45,72.14072821380697,49.75222635434964
tranche_b_pool_000089,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,73.59072821380697,1.45,72.14072821380697,49.75222635434964
tranche_b_pool_000090,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,73.59072821380697,1.45,72.14072821380697,49.75222635434964
tranche_b_pool_000091,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.291603017674728,29.434999929929088,1.45,27.98499992992909,19.299999951675233
tranche_b_pool_000092,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.292144571912768,20.60397588658317,1.45,19.153975886583172,13.209638542471152
tranche_b_pool_000093,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29248022622414,14.716893632744997,1.45,13.266893632744997,9.149581815686204
tranche_b_pool_000094,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.292898000196733,73.5830244111843,1.45,72.1330244111843,49.74691338702365
tranche_b_pool_000095,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.293232639258846,22.074560399691418,1.45,20.62456039969142,14.223834758407875
tranche_b_pool_000096,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29354853152661,36.790388201703,1.45,35.340388201703,24.372681518415863
tranche_b_pool_000097,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29392470655314,26.120714170749405,1.45,24.670714170749406,17.01428563499959
tranche_b_pool_000098,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.294675525424456,36.78844111671675,1.45,35.338441116716744,24.371338701183966
tranche_b_pool_000099,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.294929058161394,14.715201248654555,1.45,13.265201248654556,9.14841465424452
tranche_b_pool_000100,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.295413882396687,18.3935827918856,1.45,16.9435827918856,11.685229511645241
tranche_b_pool_000101,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29592086573163,12.750128046991046,1.45,11.300128046991047,7.79319175654555
tranche_b_pool_000102,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.295991632783352,13.316592658534429,1.45,11.86659265853443,8.183857005885812
tranche_b_pool_000103,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.296158182402102,7.357175974716613,1.45,5.907175974716613,4.073914465321802
tranche_b_pool_000104,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29635302644217,29.428434650532974,1.45,27.978434650532975,19.295472172781363
tranche_b_pool_000105,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29646772190807,14.714138079542103,1.45,13.264138079542104,9.147681434166968
tranche_b_pool_000106,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29660477666694,25.01387375686211,1.45,23.56387375686211,16.250947418525595
tranche_b_pool_000107,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.296699189586565,13.756997056521934,1.45,12.306997056521935,8.487584176911678
tranche_b_pool_000108,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29695087956287,17.65656511706798,1.45,16.20656511706798,11.176941460046883
tranche_b_pool_000109,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.297792790246916,36.78305655341971,1.45,35.33305655341971,24.367625209254975
tranche_b_pool_000110,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.297846996835663,22.06977776062699,1.45,20.61977776062699,14.220536386639305
tranche_b_pool_000111,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.298069773115987,662.0864073700963,1.45,660.6364073700962,455.6113154276526
tranche_b_pool_000112,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.298447337378565,36.78192613091618,1.45,35.33192613091618,24.366845607528404
tranche_b_pool_000113,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.300651841327046,36.77811939758275,1.45,35.328119397582746,24.364220274195
tranche_b_pool_000114,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.300881937066254,44.13326653691954,1.45,42.68326653691954,29.436735542703133
tranche_b_pool_000115,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.301527206714397,10.716703581924891,1.45,9.266703581924892,6.390830056499925
tranche_b_pool_000116,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.30456270089308,36.77136807102017,1.45,35.32136807102017,24.35956418691046
tranche_b_pool_000117,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.308932501562435,73.52765480947727,1.45,72.07765480947727,49.708727454811914
tranche_b_pool_000118,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.313051316781063,14.702689071082936,1.45,13.252689071082937,9.139785566264095
tranche_b_pool_000119,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.31332420255779,57.795405712008225,1.45,56.34540571200822,38.85890049104016
tranche_b_pool_000120,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.31422534208905,33.101281065880386,1.45,31.651281065880386,21.82846970060716
tranche_b_pool_000121,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.315192191719206,22.0518185232506,1.45,20.6018185232506,14.20815070569007
tranche_b_pool_000122,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.316589603676345,36.86087338666752,1.45,35.41087338666752,24.421291990805187
tranche_b_pool_000123,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.32947223432644,22.037054871125523,1.45,20.587054871125524,14.197968876638292
tranche_b_pool_000124,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.33390268810856,23.501310285160873,1.45,22.051310285160874,15.20780019666267
tranche_b_pool_000125,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.34535358358716,22.020658882944044,1.45,20.570658882944045,14.1866612985821
