gas_pool_row_id,event_type,sample_role,regime_label,is_primary_eligible,is_zero_gas_observation,gas_units,effective_gas_price_gwei,eth_price_usd,transaction_gas_cost_eth,transaction_gas_cost_usd
778,clean_successful_take_transaction,primary,stress,True,False,439004,59.56448321,1767.37166667,0.0261490463871,46.215083695
779,clean_successful_take_transaction,primary,stress,True,False,431801,59.92973634,1767.37166667,0.0258777200813,45.7355492697
780,clean_successful_take_transaction,primary,stress,True,False,423482,59.92973634,1767.37166667,0.0253791646047,44.8544164461
781,clean_successful_take_transaction,primary,stress,True,False,169314,165.060726776,1747.86333333,0.0279470918934,48.8476971937
782,clean_successful_take_transaction,primary,stress,True,False,163233,38.469173265,1747.86333333,0.00627943855957,10.9756004122
783,clean_successful_take_transaction,primary,stress,True,False,160993,38.034573265,1747.86333333,0.00612330005365,10.7026916428
784,clean_successful_take_transaction,primary,stress,True,False,161003,37.680773265,1747.86333333,0.00606671753798,10.6037931383
785,clean_successful_take_transaction,primary,stress,True,False,423691,61.268606356,1762.07083333,0.0259589570956,45.7415211619
786,clean_successful_take_transaction,primary,stress,True,False,163149,67.715106356,1762.07083333,0.0110476518869,19.4667451667
787,clean_successful_take_transaction,primary,stress,True,False,169230,67.427206356,1762.07083333,0.0114107061316,20.1064724623
788,clean_successful_take_transaction,primary,stress,True,False,163159,67.260906356,1762.07083333,0.0109742222201,19.3373568926
789,clean_successful_take_transaction,primary,stress,True,False,160919,67.197206356,1762.07083333,0.0108133072496,19.0538133164
790,clean_successful_take_transaction,primary,stress,True,False,160909,67.037506356,1762.07083333,0.0107869381102,19.007349025
791,clean_successful_take_transaction,primary,normal,True,False,437862,57.410077802,1682.9875,0.0251376914865,42.3064205507
792,clean_successful_take_transaction,primary,normal,True,False,171552,63.26988129,1682.9875,0.0108540746751,18.2672720022
793,clean_successful_take_transaction,primary,normal,True,False,169322,63.14158129,1682.9875,0.0106912588272,17.9932549654
794,clean_successful_take_transaction,primary,normal,True,False,169312,63.11018129,1682.9875,0.0106853110146,17.9832448711
795,clean_successful_take_transaction,primary,normal,True,False,169312,63.01618129,1682.9875,0.0106693956866,17.9564595731
796,clean_successful_take_transaction,primary,normal,True,False,161011,62.79198129,1682.9875,0.0101101996995,17.0153397167
797,clean_successful_take_transaction,primary,normal,True,False,161001,62.66398129,1682.9875,0.0100889636517,16.9795997137
798,clean_successful_take_transaction,primary,stress,True,False,163251,898.374785601,1686.34166667,0.146660582124,247.319850494
799,clean_successful_take_transaction,primary,stress,True,False,169322,390.676436473,1686.34166667,0.0661501155765,111.551696151
800,clean_successful_take_transaction,primary,stress,True,False,163241,250.104045972,1686.34166667,0.0408272345685,68.8486667877
801,clean_successful_take_transaction,primary,stress,True,False,161011,170.230381195,1686.34166667,0.0274089639066,46.2208778758
802,clean_successful_take_transaction,primary,stress,True,False,161001,150.291999457,1686.34166667,0.0241971622046,40.8046828407
803,clean_successful_take_transaction,primary,normal,True,False,434726,31.628732663,1680.0425,0.0137498324357,23.1003028598
804,clean_successful_take_transaction,primary,normal,True,False,163243,839.875865191,1680.0425,0.137103855861,230.340304761
805,clean_successful_take_transaction,primary,normal,True,False,161003,548.736126641,1680.0425,0.0883481625976,148.428667961
806,clean_successful_take_transaction,primary,normal,True,False,163243,26.268691813,1600.65833333,0.00428818005763,6.86391114408
807,clean_successful_take_transaction,primary,normal,True,False,163243,26.119491813,1600.65833333,0.00426382420203,6.82492574085
808,clean_successful_take_transaction,primary,normal,True,False,171554,26.113791813,1600.65833333,0.00447992544069,7.17082998935
809,clean_successful_take_transaction,primary,normal,True,False,169314,26.038991813,1600.65833333,0.00440876585983,7.05692781325
810,clean_successful_take_transaction,primary,normal,True,False,160993,25.920291813,1600.65833333,0.00417298553985,6.67952407924
811,clean_successful_take_transaction,primary,normal,True,False,171554,25.683091813,1600.65833333,0.00440603713289,7.05256005373
812,clean_successful_take_transaction,primary,normal,True,False,163243,25.582591813,1600.65833333,0.00417617903533,6.68463577439
813,clean_successful_take_transaction,primary,normal,True,False,161003,25.474891813,1600.65833333,0.00410153400657,6.56515458706
814,clean_successful_take_transaction,primary,stress,True,False,169312,51.922557587,1583.3475,0.00879111207017,13.9193853185
815,clean_successful_take_transaction,primary,stress,True,False,408152,38.75387534,1583.3475,0.0158174717278,25.0445543165
816,clean_successful_take_transaction,primary,stress,True,False,163241,45.21427534,1583.3475,0.00738082352078,11.6864084696
817,clean_successful_take_transaction,primary,stress,True,False,161001,44.52077534,1583.3475,0.00716788935052,11.3492596834
818,clean_successful_take_transaction,primary,stress,True,False,161011,47.809467981,1583.3475,0.00769785024909,12.1883719473
819,clean_successful_take_transaction,primary,normal,True,False,619158,56.361369093,1567.2475,0.0348965925649,54.6915974558
820,clean_successful_take_transaction,primary,normal,True,False,141406,25.955474547,1567.2475,0.00367025983379,5.75220554886
821,clean_successful_take_transaction,primary,normal,True,False,124382,30.369873354,1567.2475,0.00377746558752,5.92022349837
822,clean_successful_take_transaction,primary,normal,True,False,429534,1028.04757745,1567.2475,0.441581388131,692.067326595
823,clean_successful_take_transaction,primary,normal,True,False,1374004,42.524518938,1567.2475,0.0584288591189,91.5724833819
824,clean_successful_take_transaction,primary,normal,True,False,437426,28.543361991,1567.2475,0.0124856086623,19.5680389619
825,clean_successful_take_transaction,primary,normal,True,False,387739,42.043361991,1567.2475,0.016301851135,25.5490354367
826,clean_successful_take_transaction,primary,normal,True,False,434260,36.043361991,1567.2475,0.0156521903782,24.5308562398
827,clean_successful_take_transaction,primary,normal,True,False,434240,36.043361991,1567.2475,0.015651469511,24.5297264624
828,clean_successful_take_transaction,primary,normal,True,False,171554,34.865061991,1567.2475,0.0059812408448,9.37408476092
829,clean_successful_take_transaction,primary,normal,True,False,171554,34.855761991,1567.2475,0.0059796453926,9.37158429245
830,clean_successful_take_transaction,primary,normal,True,False,171554,34.822761991,1567.2475,0.0059739841106,9.36271166238
831,clean_successful_take_transaction,primary,normal,True,False,171554,34.674061991,1567.2475,0.0059484740308,9.32273105359
832,clean_successful_take_transaction,primary,normal,True,False,169314,34.122361991,1567.2475,0.00577739359814,9.05460567321
833,clean_successful_take_transaction,primary,normal,True,False,163243,411.951915304,1567.2475,0.06724826651,105.394677567
834,clean_successful_take_transaction,primary,normal,True,False,171554,389.676449712,1567.2475,0.0668505536539,104.771363088
835,clean_successful_take_transaction,primary,normal,True,False,163243,34.309489702,1567.2475,0.00560078402742,8.77781476502
836,clean_successful_take_transaction,primary,normal,True,False,163243,34.306189702,1567.2475,0.00560024532552,8.77697048581
837,clean_successful_take_transaction,primary,normal,True,False,161003,33.722389702,1567.2475,0.00542940590919,8.50922283766
838,clean_successful_take_transaction,primary,normal,True,False,174673,376.883280666,1524.185,0.0658313332838,100.339130721
839,clean_successful_take_transaction,primary,normal,True,False,141343,64.822761527,1524.185,0.00916224358251,13.9649542348
840,clean_successful_take_transaction,primary,normal,True,False,124358,51.58587187,1524.185,0.00641511585401,9.77782335794
841,clean_successful_take_transaction,primary,normal,True,False,460993,1057.34513917,1524.185,0.487428707742,742.93152491
842,clean_successful_take_transaction,primary,normal,True,False,408018,63.289482084,1524.185,0.0258232479009,39.3594071019
843,clean_successful_take_transaction,primary,normal,True,False,171554,1121.24548208,1524.185,0.192354147433,293.183306206
844,clean_successful_take_transaction,primary,normal,True,False,438964,679.904226905,1524.185,0.298453479059,454.89831598
845,clean_successful_take_transaction,primary,normal,True,False,171554,65.861326905,1524.185,0.0112987740759,17.2214219648
846,clean_successful_take_transaction,primary,normal,True,False,163243,65.850826905,1524.185,0.0107496865365,16.3845109736
847,clean_successful_take_transaction,primary,normal,True,False,163243,65.824726905,1524.185,0.0107454258942,16.3780169665
848,clean_successful_take_transaction,primary,normal,True,False,171554,65.782226905,1524.185,0.0112852041545,17.2007388942
849,clean_successful_take_transaction,primary,normal,True,False,171554,65.764726905,1524.185,0.0112822019595,17.1961629936
850,clean_successful_take_transaction,primary,normal,True,False,171554,65.659126905,1524.185,0.0112640858571,17.168550702
851,clean_successful_take_transaction,primary,normal,True,False,171554,65.572126905,1524.185,0.0112491606591,17.1458019391
852,clean_successful_take_transaction,primary,normal,True,False,169314,65.528526905,1524.185,0.0110948970044,16.9106755906
853,clean_successful_take_transaction,primary,normal,True,False,171554,65.372026905,1524.185,0.0112148327037,17.0934797844
854,clean_successful_take_transaction,primary,normal,True,False,171544,141.500957915,1524.185,0.0242736403246,36.9975184781
855,clean_successful_take_transaction,primary,normal,True,False,450425,64.529357915,1524.185,0.0290656360389,44.3014064659
856,clean_successful_take_transaction,primary,normal,True,False,169314,63.329757915,1524.185,0.0107226146316,16.3432483823
857,clean_successful_take_transaction,primary,normal,True,False,163243,63.310257915,1524.185,0.0103349564328,15.7523855706
858,clean_successful_take_transaction,primary,normal,True,False,169304,63.003457915,1524.185,0.0106667374388,16.2580812032
859,clean_successful_take_transaction,primary,normal,True,False,169304,62.869357915,1524.185,0.0106440337724,16.2234766154
860,clean_successful_take_transaction,primary,normal,True,False,163243,62.790857915,1524.185,0.0102501680186,15.6231523415
861,clean_successful_take_transaction,primary,normal,True,False,160993,62.745057915,1524.185,0.0101015151089,15.3965778063
862,clean_successful_take_transaction,primary,normal,True,False,161003,62.717257915,1524.185,0.0100976666761,15.3907120827
863,clean_successful_take_transaction,primary,stress,True,False,177023,31.946239362,1467.20083333,0.00565521913058,8.29734222107
864,clean_successful_take_transaction,primary,stress,True,False,161103,31.566239362,1467.20083333,0.00508541585994,7.46132638755
865,clean_successful_take_transaction,primary,stress,True,False,174681,53.883848236,1468.62583333,0.00941248449371,13.8234178833
866,clean_successful_take_transaction,primary,stress,True,False,171562,30.863228298,1468.62583333,0.00529495717326,7.77631089105
