cell_order,cell_identifier,anchor,portfolio,shock,capacity,metric_order,metric,operationality,direction_multiplier,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,positive_share
5,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_central,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,26,17,unused_capacity_positive_demand_hours,operational,1,128,72.5859375,19.21621026956109,34.92216537166027,110.24970962833973,0.0,0.0,0.0,25.0,206.4999999999999,434.65,0.3125
5,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_central,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,26,18,realised_bad_debt_share,degenerate,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_central,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,26,19,positive_realised_bad_debt,degenerate,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_central,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,26,20,terminal_active_bad_debt_share,degenerate,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_central,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,26,21,below_peg_burden,operational,1,128,0.2688337859114277,0.004934193136561869,0.2591627673637664,0.278504804459089,0.26650323103623713,0.1900451269076732,0.2226058511364797,0.31184460204973624,0.3377690099405003,0.3553926706816668,1.0
5,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_central,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,26,22,mean_absolute_peg_deviation,operational,1,128,0.0006132159093165351,6.436918107237603e-06,0.0006005995498263494,0.0006258322688067208,0.000612679957992445,0.0005029312774314378,0.0005676938454709701,0.0006513100560725055,0.0006966279071832178,0.0007508856367405178,1.0
5,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_central,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,26,23,minimum_dai_price,operational,-1,128,0.9958593656378814,8.488008479530874e-05,0.9956930006716825,0.9960257306040802,0.9960000424458897,0.994226860466237,0.9951182836280985,0.9966725003525806,0.9970619888627118,0.9972530119665657,1.0
5,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_central,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,26,24,restricted_mean_recovery_time,operational,1,128,81.640625,15.653355115593492,50.960048973436756,112.32120102656324,0.0,0.0,0.0,0.0,393.0,504.9,0.2265625
5,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_central,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,26,25,recovery_probability_720h,degenerate,-1,128,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,45,1,backlog_area_share,operational,1,128,0.024496923765915966,0.010206742022928962,0.004491709400975201,0.04450213813085673,0.0,0.0,0.0,0.0007808339606306262,0.033084763394574744,0.12089601524663575,0.2890625
6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,45,2,maximum_unresolved_tab_share,operational,1,128,0.007653730436135563,0.003023501521296616,0.0017276674543941955,0.01357979341787693,0.0,0.0,0.0,0.0003156167409112698,0.005583421313550142,0.026356911512460786,0.2890625
6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,45,3,terminal_unresolved_tab_share,operational,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
