capacity_profile,capacity,confidence_scenario,contrast,metric,paired_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share,discordant_positive_count,discordant_negative_count
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,minimum_dai_price,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,maximum_negative_peg_deviation,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,mean_absolute_peg_deviation,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,hours_below_0995,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,hours_above_1005,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,first_return_time,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,failed_recovery_attempts,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,recovery_probability_168h,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,recovery_probability_336h,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,recovery_probability_720h,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,final_dai_price,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,final_peg_band_status,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,minimum_confidence,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,mean_confidence_loss,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,confidence_at_horizon,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,hours_at_confidence_floor,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,hours_recovery_gate_closed,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
