record_type,recovery_path,capacity_profile,capacity,confidence_scenario,metric,replication_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share
paired_recovery,full_week - persistent_trough,shared_keeper_capacity_low,14,stage1_only,paired_liquidations_avoided,128,31.953125,1.06389494898,29.8678909,34.0383591,32,13,22.75,41,47.3,51,8,62,1
paired_recovery,full_week - persistent_trough,shared_keeper_capacity_low,14,stage1_only,paired_additional_liquidations,128,0.015625,0.015625,-0.015,0.04625,0,0,0,0,0,0,0,2,0.0078125
paired_recovery,full_week - persistent_trough,shared_keeper_capacity_low,14,stage1_only,paired_avoided_debt_dai,128,7213.86534133,504.29387039,6225.44935536,8202.28132729,6331.52611658,1378.36536341,3646.43992583,8460.2145719,13304.0433509,16449.2071365,718.728155542,41009.2981633,1
paired_recovery,full_week - persistent_trough,shared_keeper_capacity_low,14,stage1_only,paired_additional_debt_dai,128,0.354171445056,0.354171445056,-0.340004587254,1.04834747737,0,0,0,0,0,0,0,45.3339449672,0.0078125
paired_recovery,full_week - persistent_trough,shared_keeper_capacity_low,14,stage1_only,closure_time_difference_mean,128,-1.47543523647,0.111404820884,-1.69378868541,-1.25708178754,-1.19128100972,-3.77582605858,-2.00998931624,-0.652264381885,-0.0661616161616,0.0238487750967,-7.83870967742,0.436781609195,0.0625
paired_recovery,full_week - persistent_trough,shared_keeper_capacity_low,14,confidence_resilient,paired_liquidations_avoided,128,31.953125,1.06389494898,29.8678909,34.0383591,32,13,22.75,41,47.3,51,8,62,1
paired_recovery,full_week - persistent_trough,shared_keeper_capacity_low,14,confidence_resilient,paired_additional_liquidations,128,0.015625,0.015625,-0.015,0.04625,0,0,0,0,0,0,0,2,0.0078125
paired_recovery,full_week - persistent_trough,shared_keeper_capacity_low,14,confidence_resilient,paired_avoided_debt_dai,128,7213.86534133,504.29387039,6225.44935536,8202.28132729,6331.52611658,1378.36536341,3646.43992583,8460.2145719,13304.0433509,16449.2071365,718.728155542,41009.2981633,1
paired_recovery,full_week - persistent_trough,shared_keeper_capacity_low,14,confidence_resilient,paired_additional_debt_dai,128,0.354171445056,0.354171445056,-0.340004587254,1.04834747737,0,0,0,0,0,0,0,45.3339449672,0.0078125
paired_recovery,full_week - persistent_trough,shared_keeper_capacity_low,14,confidence_resilient,closure_time_difference_mean,128,-1.47543523647,0.111404820884,-1.69378868541,-1.25708178754,-1.19128100972,-3.77582605858,-2.00998931624,-0.652264381885,-0.0661616161616,0.0238487750967,-7.83870967742,0.436781609195,0.0625
paired_recovery,full_week - persistent_trough,shared_keeper_capacity_low,14,confidence_central,paired_liquidations_avoided,128,31.953125,1.06389494898,29.8678909,34.0383591,32,13,22.75,41,47.3,51,8,62,1
paired_recovery,full_week - persistent_trough,shared_keeper_capacity_low,14,confidence_central,paired_additional_liquidations,128,0.015625,0.015625,-0.015,0.04625,0,0,0,0,0,0,0,2,0.0078125
paired_recovery,full_week - persistent_trough,shared_keeper_capacity_low,14,confidence_central,paired_avoided_debt_dai,128,7213.86534133,504.29387039,6225.44935536,8202.28132729,6331.52611658,1378.36536341,3646.43992583,8460.2145719,13304.0433509,16449.2071365,718.728155542,41009.2981633,1
paired_recovery,full_week - persistent_trough,shared_keeper_capacity_low,14,confidence_central,paired_additional_debt_dai,128,0.354171445056,0.354171445056,-0.340004587254,1.04834747737,0,0,0,0,0,0,0,45.3339449672,0.0078125
paired_recovery,full_week - persistent_trough,shared_keeper_capacity_low,14,confidence_central,closure_time_difference_mean,128,-1.47543523647,0.111404820884,-1.69378868541,-1.25708178754,-1.19128100972,-3.77582605858,-2.00998931624,-0.652264381885,-0.0661616161616,0.0238487750967,-7.83870967742,0.436781609195,0.0625
paired_recovery,full_week - persistent_trough,shared_keeper_capacity_low,14,confidence_fragile,paired_liquidations_avoided,128,31.953125,1.06389494898,29.8678909,34.0383591,32,13,22.75,41,47.3,51,8,62,1
paired_recovery,full_week - persistent_trough,shared_keeper_capacity_low,14,confidence_fragile,paired_additional_liquidations,128,0.015625,0.015625,-0.015,0.04625,0,0,0,0,0,0,0,2,0.0078125
paired_recovery,full_week - persistent_trough,shared_keeper_capacity_low,14,confidence_fragile,paired_avoided_debt_dai,128,7213.86534133,504.29387039,6225.44935536,8202.28132729,6331.52611658,1378.36536341,3646.43992583,8460.2145719,13304.0433509,16449.2071365,718.728155542,41009.2981633,1
