contrast_type,shock,portfolio,left_portfolio,right_portfolio,contrast,metric,direction_multiplier,operationality,reversal_flag,pair_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share,paired_probability_difference,discordant_left_one_right_zero,discordant_left_zero_right_one,empirical_discordant_left_one_right_zero,empirical_discordant_left_zero_right_one,high_correlation_discordant_left_one_right_zero,high_correlation_discordant_left_zero_right_one
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,empirical_crypto,stable_supported - empirical_crypto,capacity_rejected_opportunities,1,operational,,128,-0.1953125,0.114767499561,-0.420256799139,0.0296317991394,0,0,0,0,0,0,-13,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,empirical_crypto,stable_supported - empirical_crypto,below_peg_burden,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,empirical_crypto,stable_supported - empirical_crypto,mean_absolute_peg_deviation,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,empirical_crypto,stable_supported - empirical_crypto,minimum_dai_price,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,empirical_crypto,stable_supported - empirical_crypto,restricted_mean_recovery_time,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,empirical_crypto,stable_supported - empirical_crypto,recovery_probability_720h,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,balanced_crypto,stable_supported - balanced_crypto,realised_bad_debt_share,1,degenerate,,128,3.86290861822e-22,2.88899890262e-22,-1.79952923092e-22,9.52534646736e-22,0,0,0,0,0,0,0,3.34822313381e-20,0.015625,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,balanced_crypto,stable_supported - balanced_crypto,positive_realised_bad_debt,1,degenerate,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,balanced_crypto,stable_supported - balanced_crypto,active_bad_debt_share,1,degenerate,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,balanced_crypto,stable_supported - balanced_crypto,unresolved_tab_share,1,operational,,128,-0.00171119024828,0.00197140439927,-0.00557514287084,0.00215276237428,0,-0.0302687653253,-0.000443510906588,0,0.00130688274253,0.00930182869488,-0.142303656933,0.117950830336,0.234375,,,,,,,
