cell_order,cell_identifier,shock,portfolio,metric,operationality,valid_replication_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share,censoring_count,numerical_failure_count
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,share_hours_eth_wbtc_simultaneously_unsafe,diagnostic,128,0.00435112847222,0.000850848023791,0.00268346634559,0.00601879059885,0,0,0,0.00173611111111,0.0170833333333,0.0235416666667,0,0.0569444444444,0.3046875,0,0
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,maximum_simultaneous_active_backlog_families,diagnostic,128,0.796875,0.0738755728957,0.652078877124,0.941671122876,1,0,0,2,2,2,0,2,0.53125,0,0
4,joint_crypto_empirical_stress__stable_supported,joint_crypto_empirical_stress,stable_supported,realised_bad_debt_share,degenerate,128,3.86290861822e-22,2.88899890262e-22,-1.79952923092e-22,9.52534646736e-22,0,0,0,0,0,0,0,3.34822313381e-20,0.015625,0,0
4,joint_crypto_empirical_stress__stable_supported,joint_crypto_empirical_stress,stable_supported,positive_realised_bad_debt,degenerate,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,joint_crypto_empirical_stress__stable_supported,joint_crypto_empirical_stress,stable_supported,active_bad_debt_share,degenerate,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,joint_crypto_empirical_stress__stable_supported,joint_crypto_empirical_stress,stable_supported,unresolved_tab_share,operational,128,0.00835023768477,0.00312799659156,0.00221936436531,0.0144811110042,0,0,0,0.00142471313676,0.0127271600579,0.0385998095906,0,0.341050215001,0.4609375,0,0
4,joint_crypto_empirical_stress__stable_supported,joint_crypto_empirical_stress,stable_supported,backlog_area_share,operational,128,0.0282555868865,0.0104819662366,0.00771093306287,0.0488002407102,0,0,0,0.00639357940997,0.0585505018572,0.13131978277,0,1.20680500282,0.4609375,0,0
4,joint_crypto_empirical_stress__stable_supported,joint_crypto_empirical_stress,stable_supported,liquidated_debt_share,operational,128,0.011548058741,0.00320356296007,0.00526907533923,0.0178270421427,0,0,0,0.00254162395664,0.0273484814685,0.0560189482559,0,0.226151818023,0.4609375,0,0
4,joint_crypto_empirical_stress__stable_supported,joint_crypto_empirical_stress,stable_supported,debt_weighted_liquidated_vault_share,operational,128,0.011548058741,0.00320356296007,0.00526907533923,0.0178270421427,0,0,0,0.00254162395664,0.0273484814685,0.0560189482559,0,0.226151818023,0.4609375,0,0
4,joint_crypto_empirical_stress__stable_supported,joint_crypto_empirical_stress,stable_supported,successful_closure_count,operational,128,4.7265625,0.77156615157,3.21429284292,6.23883215708,0,0,0,6,18.3,26,0,47,0.4609375,0,0
4,joint_crypto_empirical_stress__stable_supported,joint_crypto_empirical_stress,stable_supported,capacity_rejected_opportunities,operational,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,joint_crypto_empirical_stress__stable_supported,joint_crypto_empirical_stress,stable_supported,below_peg_burden,operational,128,0.259221364818,0.00398858692742,0.251403734441,0.267038995196,0.256866542563,0.186831435274,0.229567820657,0.287465585978,0.321133194591,0.333773855718,0.169592671946,0.3660592687,1,0,0
4,joint_crypto_empirical_stress__stable_supported,joint_crypto_empirical_stress,stable_supported,mean_absolute_peg_deviation,operational,128,0.000597776317663,6.48969732964e-06,0.000585056510897,0.000610496124429,0.000598598295043,0.000480357965518,0.000543822104482,0.000650833506567,0.000688361539265,0.000705718932085,0.000451994174648,0.000777779452119,1,0,0
4,joint_crypto_empirical_stress__stable_supported,joint_crypto_empirical_stress,stable_supported,minimum_dai_price,operational,128,0.995900137163,8.27849633965e-05,0.995737878635,0.996062395691,0.996022725003,0.994221015378,0.995450942213,0.996497114171,0.997075999089,0.997322188442,0.993388961094,0.997754896723,1,0,0
4,joint_crypto_empirical_stress__stable_supported,joint_crypto_empirical_stress,stable_supported,restricted_mean_recovery_time,operational,128,82.4453125,17.3555335089,48.4284668225,116.462158178,0,0,0,0,375.3,624.25,0,720,0.1875,2,0
