cell_order,cell_identifier,shock,portfolio,metric,valid_replication_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share,censoring_count,numerical_failure_count
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,binding_hours,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,mean_capacity_utilisation,128,0.000519163995726,0.000145061847862,0.000234842773917,0.000803485217536,0,0,0,0.000320512820513,0.000747863247863,0.0023985042735,0,0.0119658119658,0.4296875,0,0
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,maximum_capacity_utilisation,128,0.0739182692308,0.0123542009492,0.0497040353704,0.0981325030912,0,0,0,0.0865384615385,0.203846153846,0.332692307692,0,0.807692307692,0.4296875,0,0
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,maximum_simultaneously_unsafe_families,128,0.5859375,0.0651763051779,0.458191941851,0.713683058149,0,0,0,1,2,2,0,2,0.4375,0,0
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,maximum_backlog_duration,128,4.8671875,1.40751511744,2.10845786982,7.62591713018,0,0,0,3,8,15.3,0,127,0.4140625,0,0
4,eth_idiosyncratic_severe__stable_supported,eth_idiosyncratic_severe,stable_supported,realised_bad_debt_share,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,eth_idiosyncratic_severe__stable_supported,eth_idiosyncratic_severe,stable_supported,positive_realised_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,eth_idiosyncratic_severe__stable_supported,eth_idiosyncratic_severe,stable_supported,active_bad_debt_share,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,eth_idiosyncratic_severe__stable_supported,eth_idiosyncratic_severe,stable_supported,unresolved_tab_share,128,8.68911992187e-08,8.68911992187e-08,-8.34155512499e-08,2.57197949687e-07,0,0,0,0,0,0,0,1.11220735e-05,0.0078125,0,0
4,eth_idiosyncratic_severe__stable_supported,eth_idiosyncratic_severe,stable_supported,backlog_area_share,128,0.0150270206058,0.0058042353516,0.00365071931664,0.0264033218949,0,0,0,0.000145559375232,0.0108991978335,0.0703170657972,0,0.569019333527,0.2578125,0,0
4,eth_idiosyncratic_severe__stable_supported,eth_idiosyncratic_severe,stable_supported,liquidated_debt_share,128,0.00803019523715,0.00255848943752,0.00301555593961,0.0130448345347,0,0,0,0,0.0109870339331,0.04916735286,0,0.173833927042,0.234375,0,0
4,eth_idiosyncratic_severe__stable_supported,eth_idiosyncratic_severe,stable_supported,debt_weighted_liquidated_vault_share,128,0.00803019523715,0.00255848943752,0.00301555593961,0.0130448345347,0,0,0,0,0.0109870339331,0.04916735286,0,0.173833927042,0.234375,0,0
4,eth_idiosyncratic_severe__stable_supported,eth_idiosyncratic_severe,stable_supported,successful_closure_count,128,3.2578125,0.889104965393,1.51516676783,5.00045823217,0,0,0,0,9,17,0,82,0.234375,0,0
4,eth_idiosyncratic_severe__stable_supported,eth_idiosyncratic_severe,stable_supported,capacity_rejected_opportunities,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,eth_idiosyncratic_severe__stable_supported,eth_idiosyncratic_severe,stable_supported,below_peg_burden,128,0.26560363519,0.00454375447907,0.256697876411,0.274509393969,0.254728497773,0.189281453855,0.232235770874,0.299472255215,0.332279117942,0.348203949937,0.155835511292,0.423072833411,1,0,0
4,eth_idiosyncratic_severe__stable_supported,eth_idiosyncratic_severe,stable_supported,mean_absolute_peg_deviation,128,0.000614587264255,6.67212632206e-06,0.000601509896664,0.000627664631846,0.00061630151029,0.000482684860298,0.000561703447088,0.000657458893457,0.000723641570608,0.000760465596399,0.000445143471598,0.000781800612311,1,0,0
4,eth_idiosyncratic_severe__stable_supported,eth_idiosyncratic_severe,stable_supported,minimum_dai_price,128,0.995938327338,8.56288888862e-05,0.995770494716,0.99610615996,0.996036108228,0.994228414818,0.995192536345,0.996519817597,0.997253210565,0.997434173715,0.993694577318,0.997842442371,1,0,0
4,eth_idiosyncratic_severe__stable_supported,eth_idiosyncratic_severe,stable_supported,restricted_mean_recovery_time,128,62.2734375,13.9068439772,35.0160233048,89.5308516952,0,0,0,0,318.2,473.65,0,720,0.1796875,1,0
4,eth_idiosyncratic_severe__stable_supported,eth_idiosyncratic_severe,stable_supported,recovery_probability_720h,128,0.9921875,0.0078125,0.976875,1.0075,1,1,1,1,1,1,0,1,0.9921875,0,0
4,eth_idiosyncratic_severe__stable_supported,eth_idiosyncratic_severe,stable_supported,positive_demand_hours,128,2.3984375,0.684953214441,1.0559291997,3.7409458003,0,0,0,0,5,18.95,0,64,0.2421875,0,0
4,eth_idiosyncratic_severe__stable_supported,eth_idiosyncratic_severe,stable_supported,binding_hours,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,eth_idiosyncratic_severe__stable_supported,eth_idiosyncratic_severe,stable_supported,mean_capacity_utilisation,128,0.000338458199786,0.000109261984181,0.000124304710792,0.000552611688781,0,0,0,0,0.000550213675214,0.00231036324786,0,0.0109508547009,0.2421875,0,0
4,eth_idiosyncratic_severe__stable_supported,eth_idiosyncratic_severe,stable_supported,maximum_capacity_utilisation,128,0.0510817307692,0.0107597133814,0.0299926925417,0.0721707689968,0,0,0,0,0.192307692308,0.332692307692,0,0.769230769231,0.2421875,0,0
4,eth_idiosyncratic_severe__stable_supported,eth_idiosyncratic_severe,stable_supported,maximum_simultaneously_unsafe_families,128,0.3203125,0.0507492990793,0.220843873805,0.419781126195,0,0,0,1,1,1.65,0,2,0.265625,0,0
4,eth_idiosyncratic_severe__stable_supported,eth_idiosyncratic_severe,stable_supported,maximum_backlog_duration,128,3.2734375,1.08557985316,1.14570098781,5.40117401219,0,0,0,1,7.3,16.3,0,111,0.2578125,0,0
5,wbtc_idiosyncratic_severe__eth_only,wbtc_idiosyncratic_severe,eth_only,realised_bad_debt_share,128,5.63439383736e-23,5.63439383736e-23,-5.40901808387e-23,1.66778057586e-22,0,0,0,0,0,0,0,7.21202411183e-21,0.0078125,0,0
