cell_order,cell_identifier,shock,portfolio,family,metric,applicable_replication_count,not_applicable_replication_count,invalid_replication_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,ETH,backlog_area,128,0,0,34230.0555576,14030.6731492,6729.93618507,61730.1749301,0,0,0,4894.9298702,41374.0867437,114036.209581,0,1274019.78494,0.375
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,ETH,active_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,ETH,realised_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,ETH,keeper_profit_proxy,128,0,0,2243.32239827,734.267898646,804.157316924,3682.48747962,0,0,0,187.124527283,3096.75604701,11739.1628624,0,58819.0149942,0.4140625
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,ETH,exposure_normalised_liquidated_debt,128,0,0,0.0142922313927,0.00458021867897,0.00531500278187,0.0232694600034,0,0,0,0.00155157454665,0.0211151376113,0.0774114047301,0,0.364767987566,0.4140625
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,ETH,exposure_normalised_backlog,128,0,0,0.027384044446,0.0112245385194,0.00538394894805,0.049384139944,0,0,0,0.00391594389616,0.0330992693949,0.0912289676647,0,1.01921582795,0.375
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,ETH,exposure_normalised_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,ETH,contribution_to_system_backlog,53,75,0,0.686385473522,0.0559122924231,0.576797380373,0.795973566672,0.987072825013,0,0.158109137343,1,1,1,0,1,0.905660377358
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,ETH,contribution_to_system_bad_debt,0,128,0,,,,,,,,,,,,,
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,ETH,displaced_candidates,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
