shock,left_portfolio,right_portfolio,contrast,metric,pair_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share,discordant_left_one_right_zero,discordant_left_zero_right_one
wbtc_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,restricted_mean_recovery_time,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
wbtc_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,recovery_probability_720h,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wbtc_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,realised_bad_debt_share,128,-6.13959888812e-23,6.13959888812e-23,-1.81732127088e-22,5.89401493259e-23,0,0,0,0,0,0,-7.85868657679e-21,0,0,,
wbtc_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,positive_realised_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wbtc_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,active_bad_debt_share,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
wbtc_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,unresolved_tab_share,128,-1.47838529695e-05,1.34239518517e-05,-4.10947985988e-05,1.15270926599e-05,0,0,0,0,0,0,-0.00171000070557,0,0,,
wbtc_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,backlog_area_share,128,-0.0215310167087,0.00635578169987,-0.0339883488405,-0.009073684577,0,-0.116953342923,-0.00458585017475,0,0,0.000377896008335,-0.669068756263,0.0358672585626,0.0546875,,
wbtc_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,liquidated_debt_share,128,-0.0150379180308,0.00367956385648,-0.0222498631895,-0.00782597287207,0,-0.101420872027,-0.00540035624482,0,0,0,-0.250819744142,0.041009814357,0.0390625,,
wbtc_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,debt_weighted_liquidated_vault_share,128,-0.0150379180308,0.00367956385648,-0.0222498631895,-0.00782597287207,0,-0.101420872027,-0.00540035624482,0,0,0,-0.250819744142,0.041009814357,0.0390625,,
wbtc_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,successful_closure_count,128,-6,1.04517780953,-8.04854850669,-3.95145149331,0,-31.6,-6.25,0,0,0,-58,7,0.015625,,
wbtc_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,capacity_rejected_opportunities,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
wbtc_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,below_peg_burden,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
wbtc_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,mean_absolute_peg_deviation,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
wbtc_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,minimum_dai_price,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
wbtc_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,restricted_mean_recovery_time,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
wbtc_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,recovery_probability_720h,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wbtc_idiosyncratic_severe,stable_supported,balanced_crypto,stable_supported - balanced_crypto,realised_bad_debt_share,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
wbtc_idiosyncratic_severe,stable_supported,balanced_crypto,stable_supported - balanced_crypto,positive_realised_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wbtc_idiosyncratic_severe,stable_supported,balanced_crypto,stable_supported - balanced_crypto,active_bad_debt_share,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
wbtc_idiosyncratic_severe,stable_supported,balanced_crypto,stable_supported - balanced_crypto,unresolved_tab_share,128,-5.38350643327e-07,5.38350643327e-07,-1.59351790425e-06,5.16816617594e-07,0,0,0,0,0,0,-6.89088823458e-05,0,0,,
